"ID" "SDG2_TSS" "SDG2_TSS2" "SDG2_TES" "SDG2_mid" "S2Lb_TSS" "S2Lb_TSS2" "S2Lb_TES" "S2Lb_mid"
"96" "AT1G01950" 1.59828 4.92757 -4.00614 -1.0124 1.41038 4.57194 -0.495 -17.8832
"97" "AT1G01960" 2.00022 8.97797 -4.00274 -26.249 0.88299 6.17305 -0.4987 -5.134
"98" "AT1G01970" 1.11797 4.7073 -3.27867 2.3096 -0.57594 1.31896 -0.63185 0.715
"99" "AT1G01980" -1.39168 1.4966 -2.79763 -5.1485 -1.17768 -0.30274 -0.9169 -1.977
"100" "AT1G01990" -0.3787 2.23135 1.06703 2.2992 -1.22039 2.70169 -0.0460200000000004 0.324499999999999
"101" "AT1G02000" 0.10936 1.2116 3.39863 1.0256 0.425280000000001 3.90217 1.3074 5.1515
"102" "AT1G02010" 3.29773 -0.39181 0.94016 -14.2661 0.89774 -0.18987 -1.21903 -6.0799
"103" "AT1G02020" -1.57653 2.53385 0.40795 -4.2963 -0.24867 -2.30682 -0.33573 1.2393
"104" "AT1G02030" -1.55688 -1.1998 -2.24919 -8.3375 -3.03453 -0.4386 -0.21568 0.547099999999999
"105" "AT1G02040" -0.889080000000001 -1.06787 0.0111099999999995 -4.98348 -3.26699 -2.96835 -1.26309 0.15129
"106" "AT1G02050" -1.29635 -2.42846 -1.34488 -3.051 -0.432399999999999 -1.25018 -2.86168 -1.5472
"107" "AT1G02060" -1.8431 -0.45512 -0.815839999999999 -0.0930999999999997 -1.4207 -1.94422 -1.33376 -0.902000000000001
"108" "AT1G02065" 0.1358 -5.17655 -0.0153300000000005 -0.0890999999999984 -1.99197 -0.393190000000001 -2.68901 -3.6243
"109" "AT1G02070" -4.02045 -0.760750000000001 2.5574 0.0201199999999999 -0.56721 -2.33963 -2.24519 -1.68265
"110" "AT1G02080" -0.74861 6.79895 -1.36841 -25.391 0.877460000000001 7.76448 -0.15183 -34.767
"111" "AT1G02090" 2.16977 3.69651 -1.66339 -5.5285 2.15819 5.53395 0.00861000000000001 2.6018
"112" "AT1G02100" 2.60542 1.17737 -0.96476 -12.1132 2.51225 4.09763 -2.27363 -1.0594
"113" "AT1G02110" -0.77822 -0.327539999999999 -0.53153 3.5062 -2.11922 0.273570000000001 0.307049999999999 3.7349
"114" "AT1G02120" 1.45079 2.88339 -2.37728 -11.0351 1.24393 4.58362 0.383669999999999 -8.0037
"115" "AT1G02130" -1.59617 1.89782 -2.02652 -1.4081 -1.88996 2.55698 -0.0736100000000004 1.0853
"116" "AT1G02140" 1.09856 5.47284 -1.1108 -0.383820000000001 1.03071 5.97426 -1.31667 1.26304
"117" "AT1G02145" 1.1124 2.99693 -1.99787 -23.5444 -0.9067 0.0330700000000004 -3.88649 -13.199
"118" "AT1G02150" -1.4448 1.12402 -1.31869 -6.8432 -3.36161 2.98623 0.5757 2.3331
"119" "AT1G02160" 0.798749999999999 0.550319999999999 -1.87322 -0.52762 -0.0206999999999997 1.19704 0.10907 0.0391999999999999
"120" "AT1G02170" -0.80928 0.0278300000000007 -0.20309 -6.8202 0.40082 4.01523 0.634130000000001 1.8713
"121" "AT1G02180" 0.60106 -0.0105000000000004 -0.252339999999999 0.0346299999999999 -1.75515 2.79209 1.48376 -0.18016
"122" "AT1G02190" -0.99848 -1.4099 -1.53068 -3.2733 -2.2611 1.70183 -0.13008 -0.0822000000000003
"123" "AT1G02205" -0.0400700000000001 -0.7285 3.56261 -9.9366 -1.59588 -1.20195 -3.19546 -4.8344
"124" "AT1G02220" -0.91453 0.15592 -1.2294 -3.5956 -0.69484 0.79893 -2.09059 -7.7674
"125" "AT1G02230" -1.50349 -0.60673 -0.88955 -1.249 -3.73711 -3.06986 -1.16545 -7.7115
"126" "AT1G02250" -0.7285 -1.41717 -5.36139 -3.6111 -0.89079 -2.47463 -0.5806 -4.8558
"127" "AT1G02260" -0.44516 -1.2413 -3.00165 -14.5712 -2.49792 -0.71376 -2.20967 -5.6411
"128" "AT1G02270" 1.04157 3.58297 -1.56028 -4.6999 1.1466 3.85344 -2.12795 -8.2914
"129" "AT1G02280" -1.38393 0.51831 0.77812 -2.138 2.01416 2.24563 -1.21049 -5.1366
"130" "AT1G02290" -1.71624 1.14149 -1.77666 -4.0648 -3.14673 -0.83751 0.72808 -2.8773
"131" "AT1G02300" 1.30016 4.59426 -1.4584 -7.4691 -1.03249 5.07555 0.5231 -2.4224
"132" "AT1G02305" 0.788069999999999 5.47868 -1.50352 -5.9278 1.76764 4.33628 0.00627000000000066 -4.8562
"133" "AT1G02310" -1.79655 -0.43596 -1.36429 -6.0623 -3.45304 0.8331 0.241239999999999 -3.6834
"134" "AT1G02330" 0.68935 1.61062 -1.77058 -1.753 1.55141 -0.38514 0.98566 0.9444
"135" "AT1G02335" -0.20962 0.45843 -0.30882 -0.97132 2.06055 -2.76336 0.3092 0.60249
"136" "AT1G02340" 5.54176 28.10063 7.48421 52.2185 5.07393 35.0357 4.3826 70.2522
"137" "AT1G02350" 6.91278 14.22481 20.38497 4.32091 6.70098 10.56939 26.21343 2.49498
"138" "AT1G02360" -3.61463 -2.9056 0.0775899999999998 1.06825 -0.99764 -2.31886 1.09854 -0.207129999999999
"139" "AT1G02370" -1.4135 -1.56926 -1.0608 -4.9443 -1.98829 -3.63007 -1.36693 -0.2788
"140" "AT1G02380" -0.0230700000000001 3.12036 -1.49914 0.895300000000002 -0.82498 5.66825 -0.38416 -0.456499999999998
"141" "AT1G02390" -1.34753 -1.98842 -2.52352 -9.7041 1.54121 -1.1842 -1.21485 1.5138
"142" "AT1G02400" -0.64966 -0.15531 0.79195 1.2748 -1.9779 0.986350000000001 0.42159 -0.982200000000002
"143" "AT1G02410" -0.38426 3.27248 -2.74306 -3.4675 2.14965 6.33915 -2.1889 -2.5971
"144" "AT1G02420" 0.0567200000000003 0.33058 -0.11286 -1.5795 -3.73877 -0.71241 -3.99199 -5.07268
"145" "AT1G02430" -0.58175 -2.00008 -0.2521 -3.04824 -3.62288 -1.99498 -3.68316 -2.89197
"146" "AT1G02440" -0.55215 -0.20115 -2.21571 -0.55552 -2.99097 0.1178 -5.08045 -1.49824
"147" "AT1G02460" -0.40877 -2.59196 -0.57104 -7.1243 -0.747920000000001 0.866090000000001 -0.48782 -6.7067
"148" "AT1G02470" -0.79521 -2.06146 0.19983 -8.1276 -1.87386 0.879670000000001 -3.34453 -5.4812
"149" "AT1G02475" 2.45552 7.71272 -0.63099 3.6671 3.1696 12.20218 -1.44896 4.3599
"150" "AT1G02500" 1.33581 8.38617 -1.18696 -1.112 2.78439 12.77059 0.41004 6.5994
"151" "AT1G02510" -2.33796 -0.46579 -1.18696 -4.06266 -1.19224 -2.13698 0.55775 -1.63355
"152" "AT1G02520" -2.18441 0.25271 0.0305200000000001 -20.9593 -1.18554 -2.32759 -1.53358 -19.0674
"153" "AT1G02530" -0.21618 -0.56234 -2.34622 -14.0497 -2.274 0.1873 -2.84877 -6.0799
"154" "AT1G02540" 0.39898 -7.25372 -2.91869 -0.83423 -1.19107 -0.74657 -1.98441 -0.99297
"155" "AT1G02560" -0.65887 5.97837 -1.89115 -0.577300000000001 0.77798 8.82659 -0.87488 -3.0782
"156" "AT1G02570" -1.14645 -2.47362 0.65347 -0.2642 0.435659999999999 -1.16343 -0.15589 0.22797
"157" "AT1G02575" -0.65815 0.61 0.419620000000001 -0.263240000000001 -1.37179 0.12265 0.88668 -0.97804
"158" "AT1G02580" -0.13223 -0.96255 0.5717 -9.5993 -1.60307 -0.89632 0.97209 -7.4538
"159" "AT1G02610" 6.28647 46.03788 2.10985 82.3489 6.94328 57.93952 7.0457 119.3902
"160" "AT1G02620" 1.0554 4.42981 1.40905 -0.612400000000001 -2.30381 3.61546 -0.34612 7.3763
"161" "AT1G02630" -1.11127 -2.04351 -0.99046 -6.1147 -0.224209999999999 -3.85951 1.49094 -1.5747
"162" "AT1G02640" 3.20288 53.02873 0.35338 108.91 4.62382 73.15076 5.53899 237.7727
"163" "AT1G02650" -3.21172 3.93688 0.29445 4.2208 2.37491 5.44992 0.796410000000001 5.8036
"164" "AT1G02660" 11.96067 58.23216 1.96141 85.9163 13.52245 68.1364 6.83962 144.8077
"165" "AT1G02670" 5.2155 -0.50556 -1.06906 -16.6527 2.05686 1.30605 -1.03832 -8.75850000000001
"166" "AT1G02680" 0.48171 2.02615 0.41839 -1.3598 2.27193 3.16309 0.0849900000000012 1.853
"167" "AT1G02690" -1.58428 -1.34634 1.24242 -5.82729999999999 -0.14986 -0.871 -2.74512 -12.6787
"168" "AT1G02700" -1.39481 -1.85429 -0.74427 -3.3506 0.303190000000001 0.67199 -0.91438 -2.2018
"169" "AT1G02705" -1.10036 -0.88497 -0.89272 -0.508924 0.185449999999999 -2.51801 -0.85342 -0.119574
"170" "AT1G02720" -1.18937 -1.70316 0.51008 -1.0635 -2.51199 1.90011 -0.74473 3.9553
"171" "AT1G02730" 0.930949999999999 0.46303 -1.41183 -21.3302 -0.88458 4.90352 -0.99561 -6.2015
"172" "AT1G02740" -1.57167 -1.586 0.70196 -7.342 0.65957 3.44276 -1.79768 -4.0167
"173" "AT1G02750" 0.72793 4.44241 0.13869 -0.153500000000001 0.62541 3.29489 -0.35049 -1.7051
"174" "AT1G02770" -0.98343 -2.94174 -1.73055 -10.4793 0.87678 -0.427359999999999 0.29998 2.9843
"175" "AT1G02780" 3.62374 13.48835 -0.98464 -0.589100000000002 3.02692 19.09029 -0.454639999999999 3.353
"176" "AT1G02790" 1.648 -0.864609999999999 -2.79618 -7.3416 1.66195 -0.39067 -2.76773 -4.2329
"177" "AT1G02800" -1.16075 -0.97156 -2.39763 -7.2457 1.66933 0.93878 -0.22839 -0.884700000000002
"178" "AT1G02810" -2.3889 -1.28133 -2.00151 -8.8047 -2.04991 -0.84673 -1.42371 -7.8489
"179" "AT1G02816" 2.52392 18.16155 -3.11298 13.8808 3.44747 19.61155 0.0457899999999993 19.4235
"180" "AT1G02820" -1.44673 4.82052 0.88123 -0.20864 -1.92229 4.01723 -2.4393 0.0172700000000001
"181" "AT1G02840" 0.102569999999999 4.32235 -4.91318 -8.9796 -2.63205 2.06258 -3.92947 -12.2002
"182" "AT1G02850" -1.00721 -2.69796 -4.59147 -4.5122 -2.76706 -3.02698 -2.8379 -8.2123
"183" "AT1G02860" 0.847760000000001 8.10915 -0.82019 2.4677 0.8793 7.84128 -0.74172 3.6633
"184" "AT1G02870" -2.7678 -0.32438 -0.812679999999999 -4.02897 -1.3748 0.121 -0.54576 -1.66731
"185" "AT1G02880" 1.54173 0.03681 -3.81628 -5.9177 2.63987 1.17075 -0.24898 -5.8995
"186" "AT1G02890" 2.84121 4.73349 -0.77286 -19.7969 0.14508 6.15179 -0.78712 -3.0955
"187" "AT1G02900" -2.27998 -3.08437 -3.64737 -0.038335 -2.17803 1.49482 -0.70638 0.33095
"188" "AT1G02910" -2.4949 0.11906 -0.65815 -5.8853 3.02188 3.5024 0.76846 -0.665800000000001
"189" "AT1G02920" -1.55154 -0.0228700000000002 -3.5644 2.9239 -2.3996 -1.20312 -3.0459 -2.106
"190" "AT1G02930" 0.15983 -1.80164 -1.46859 -3.27462 -0.11871 1.63584 0.54068 3.4407
"191" "AT1G02940" 1.56066 -0.83014 -0.91722 -1.46519 -2.58566 -0.404739999999999 -0.10194 1.24325
"192" "AT1G02950" -1.59909 -2.14248 0.22094 -1.34271 -0.67892 0.49612 -2.5381 0.879670000000001
"194" "AT1G02960" -0.80198 -1.14767 -0.95749 -14.5892 -2.49558 1.26887 -2.60041 -3.654
"195" "AT1G02965" -0.1235 -0.37264 0.88218 0.54064 -4.23637 -2.19142 -1.74827 -2.25742
"196" "AT1G02970" -1.9246 0.72232 -1.08993 -14.9064 -1.89801 -1.42421 -1.12023 -7.7667
"197" "AT1G02980" 0.21027 -2.12209 -2.17789 -15.407 0.44954 -0.75326 -0.9467 -13.7557
"198" "AT1G02990" 1.82727 1.36029 -2.56382 -18.0449 -0.15472 1.74939 -0.24043 -17.6901
"199" "AT1G03000" -1.01302 0.891640000000001 0.21027 -16.6727 1.35545 2.80971 -0.960279999999999 -9.2103
"200" "AT1G03010" -2.08446 -8.17631 -0.1133 -6.2869 -0.93029 -2.69553 1.14592 -18.4327
"201" "AT1G03030" -2.39302 0.52609 -1.55519 -6.2203 1.70097 -1.29842 -1.32822 1.6052
"202" "AT1G03040" 0.98189 9.2815 -1.52171 -2.653 1.08613 5.11659 -1.80554 5.4153
"203" "AT1G03050" -0.73163 -1.05598 -0.31541 -3.6483 -0.58865 -2.59488 -2.22005 -8.2282
"204" "AT1G03055" -3.18405 1.07916 -1.3233 -6.1707 -2.7061 -0.728319999999999 -2.84694 -4.2206
"205" "AT1G03060" 5.30618 0.92317 0.865699999999999 -47.876 6.21688 5.35572 -2.0963 -21.968
"206" "AT1G03070" -3.04165 -0.698189999999999 1.33676 -0.322000000000001 0.47468 0.6055 -0.20025 -4.896
"207" "AT1G03080" -0.54145 6.70873 0.95617 -25.884 -0.76568 7.72662 0.0157999999999996 -3.4545
"208" "AT1G03090" 18.97023 54.22194 11.00323 186.8427 24.79038 65.9742 25.4272 313.6002
"209" "AT1G03100" 1.07359 0.14597 17.6912 8.92919999999999 0.31609 -1.92278 25.0423 30.9495
"210" "AT1G03103" -2.24433 -2.57327 -2.37435 -0.000979999999999981 -2.12009 1.50287 -1.54077 -1.082747
"211" "AT1G03106" 0.71749 0.21438 -1.58672 0.0553000000000001 -2.71095 0.31258 -0.573910000000001 -0.18219
"212" "AT1G03110" -0.30324 -2.80614 1.8913 -9.4223 -0.80722 1.36836 -0.0746500000000001 -16.912
"213" "AT1G03120" -1.41959 0.710660000000001 31.80789 5.90658 -0.177149999999999 3.50026 62.1954 7.38648
"214" "AT1G03130" 22.44798 87.69874 46.18189 25.92671 28.16697 102.5254 81.4971 35.67799
"215" "AT1G03140" 2.08413 4.22361 23.34555 28.975 -0.99561 4.48976 28.4033 25.8669
"216" "AT1G03150" 1.93932 0.84239 0.17948 -6.3253 2.23642 4.42606 -0.76937 -2.9799
"217" "AT1G03160" 2.99013 4.61269 -0.18175 -14.8444 0.324809999999999 6.47906 -0.85527 -5.62070000000001
"218" "AT1G03165" 0.28303 -0.0922299999999998 0.54526 2.35026 -1.17516 -2.60226 1.44289 -0.75782
"219" "AT1G03170" -0.97955 -2.61085 -1.87053 -0.773199999999999 -2.08776 -2.41834 0.60162 -3.4889
"220" "AT1G03180" -2.17422 -3.44217 -1.76283 -5.0908 -1.69721 0.14944 -1.17331 -8.1447
"221" "AT1G03190" 0.81669 1.70618 -0.29087 -19.4692 2.58843 3.96816 -2.73774 -5.531
"222" "AT1G03200" -1.00089 0.87199 -1.13044 1.1856 0.75002 -0.50122 0.702459999999999 -2.9489
"223" "AT1G03210" -1.95736 1.59145 -0.0922299999999998 0.71042 0.78234 3.15154 0.64384 2.16827
"224" "AT1G03220" 0.48802 9.82211 -0.61448 11.4107 1.56965 8.49723 0.29163 11.8104
"225" "AT1G03230" 0.113 3.47283 -2.56841 3.9761 -1.40848 1.71658 -1.85076 0.930499999999999
"226" "AT1G03240" 0.10355 0.36041 0.0712700000000002 -0.55066 -2.48889 -3.73576 -3.94326 0.02329
"227" "AT1G03250" 2.60835 9.62645 0.12731 -6.3617 -0.35485 3.47209 -1.96801 -5.3679
"228" "AT1G03260" -0.48276 -0.275139999999999 1.40276 -10.1845 0.577850000000001 -0.90448 -0.90301 0.0229999999999961
"229" "AT1G03270" -1.23328 -0.960649999999999 0.1125 -8.723 0.78904 -1.20078 -2.00702 -8.268
