"ID" "ATX1_ChIP8TSS" "ATX2_ChIP8TSS" "ATXR7_ChIP8TES" "ATX1_ChIP7TSS" "ATX2_ChIP7TSS" "ATXR7_soiTES"
"97" "AT1G01940" 6.7589 15.5597 7.32193 7.5967 19.993 11.08292
"98" "AT1G01950" 8.01874 9.63054 36.62499 6.57137 11.18807 55.28569
"99" "AT1G01960" 3.54749 7.02439 37.61179 3.28163 9.80373 56.8272
"100" "AT1G01970" 7.6378 9.0418 8.16549 5.94879 10.77259 2.7162
"101" "AT1G01980" 1.64735 2.77092 8.18144 -0.442490000000001 -0.385160000000001 2.7162
"102" "AT1G01990" 2.20643 11.22454 4.7593 3.02974 10.57944 5.43891
"103" "AT1G02000" 3.53804 1.11425 4.72749 0.13029 2.2448 2.55541
"104" "AT1G02010" 5.27354 10.01644 12.51084 0.86017 11.71407 7.18866
"105" "AT1G02020" 4.35385 13.11835 12.74959 2.70882 15.75732 7.22598
"106" "AT1G02030" -0.42342 -0.12287 -0.52511 2.9167 -0.773229999999999 2.99398
"107" "AT1G02040" 0.97886 1.68288 -2.41923 0.15521 1.63594 -0.76805
"108" "AT1G02050" 1.66471 1.89039 0.6846 0.212190000000001 1.74628 2.47291
"109" "AT1G02060" 2.93765 6.02989 9.99999999997669e-05 -1.66902 2.77139 -1.80739
"110" "AT1G02065" -1.69054 -1.43573 -0.73204 -1.14558 -0.9405 -1.71894
"111" "AT1G02070" -1.4043 -1.32243 -1.27324 -1.76336 -2.32338 -0.79292
"112" "AT1G02080" 2.91041 7.44451 72.67685 8.93007 14.23387 50.18905
"113" "AT1G02090" 8.17355 12.33365 62.1876 7.38264 16.19984 52.38107
"114" "AT1G02100" 7.36719 11.92979 19.70535 7.77922 14.73202 22.69431
"115" "AT1G02110" 6.3694 11.9317 7.71989 3.1049 9.9983 8.91669
"116" "AT1G02120" 8.06799 12.33609 46.70044 3.60821 11.85321 24.09619
"117" "AT1G02130" 8.73065 18.85735 46.68449 4.6772 27.2486 24.17219
"118" "AT1G02140" 7.8582 14.1438 20.75584 2.22465 15.97865 19.76194
"119" "AT1G02145" 9.6101 18.3244 14.40499 3.23091 23.20561 9.05766
"120" "AT1G02150" 10.21734 11.51854 20.10319 2.8593 9.3896 13.37664
"121" "AT1G02160" 4.46674 5.64674 7.73585 4.48948 7.86528 14.11698
"122" "AT1G02170" 3.46461 8.78381 10.5849 6.92959 9.27789 17.03188
"123" "AT1G02180" 6.74045 9.35735 10.6168 -0.00910000000000011 6.4823 16.07726
"124" "AT1G02190" 0.911199999999999 1.11345 0.60497 -0.75094 -1.35405 -0.67225
"125" "AT1G02205" -0.404559999999999 1.1824 -2.62613 1.33191 0.0848000000000004 -1.64293
"126" "AT1G02220" 0.70822 2.81397 1.67138 0.13653 3.57399 -1.18684
"128" "AT1G02230" -1.18996 3.11262 -1.22545 -1.39173 2.13392 -1.80371
"129" "AT1G02250" 0.13716 -0.88994 -1.2255 0.212660000000001 -0.275539999999999 -0.0378600000000002
"130" "AT1G02260" 4.82984 7.39814 3.56554 3.04264 6.01034 0.434340000000001
"131" "AT1G02270" 3.073 5.5168 12.09705 3.37593 5.65043 32.55864
"132" "AT1G02280" 12.10059 16.42279 13.17934 4.77205 14.87115 8.87707
"133" "AT1G02290" 8.85599 8.84499 7.99044 8.10004 13.15364 5.19843
"134" "AT1G02300" 5.49878 11.06218 16.9199 6.04352 13.45792 8.89174
"135" "AT1G02305" 8.01079 16.99809 18.2887 5.41424 17.72234 7.25083
"136" "AT1G02310" -2.16231 -3.43864 17.3019 1.19304 -4.1787 5.71671
"137" "AT1G02330" 4.3121 5.4514 14.3732 3.91092 8.64052 5.30157
"138" "AT1G02335" -1.38246 -2.48947 1.03474 0.21842 -4.06831 0.00312000000000001
"139" "AT1G02340" -0.90047 0.95304 4.96624 -3.83902 -4.92613 1.46634
"140" "AT1G02350" 2.50535 3.48992 2.2126 2.96699 2.79869 -0.7607
"141" "AT1G02360" -1.68825 -1.17692 1.95792 -0.839 -2.46152 3.72274
"142" "AT1G02370" 1.57776 3.02485 2.41948 2.6844 5.37322 2.29515
"143" "AT1G02380" 4.1444 8.8227 1.40085 1.43872 10.93894 -0.20881
"144" "AT1G02390" 1.35082 1.55971 -1.36871 1.44494 -1.29943 2.65262
"145" "AT1G02400" -0.883550000000001 -1.74312 -0.22269 0.0301900000000002 -0.552359999999999 6.83341
"146" "AT1G02405" -0.162199999999999 -0.529959999999999 -1.54379 -0.103400000000001 -1.9905 1.94221
"147" "AT1G02410" 2.40387 1.96712 11.63539 0.55175 1.10954 10.48305
"148" "AT1G02420" 5.07221 6.78711 -1.01858 5.06177 8.86217 -2.26347
"149" "AT1G02430" 0.56286 -0.744260000000001 -0.93899 -0.498060000000001 -0.74628 -1.98428
"150" "AT1G02440" -0.245450000000001 0.19973 1.94198 1.5776 -1.63233 -2.43303
"151" "AT1G02450" -3.12629 0.453530000000001 -1.03447 -1.54305 0.0853799999999989 0.14781
"152" "AT1G02460" -1.25357 -3.22999 -2.0054 -1.19105 -4.81531 -0.37413
"153" "AT1G02470" 0.30437 0.609720000000001 1.36897 -5.74559 -3.43006 3.95871
"154" "AT1G02475" 2.11093 5.07184 35.59045 1.18058 3.51867 8.8881
"155" "AT1G02500" 1.2236 3.89955 15.42359 1.98613 6.50859 9.02543
"156" "AT1G02510" 1.25936 2.77092 15.26449 0.4574 2.71551 9.02543
"157" "AT1G02520" 1.58014 4.43664 -1.60747 -0.83186 4.51506 -1.00994
"158" "AT1G02530" -0.10563 1.44543 -0.70024 2.52108 2.07798 -2.27224
"159" "AT1G02540" -1.27709 -1.40725 -0.87532 -1.00188 -2.79455 -1.53696
"160" "AT1G02550" -2.0987 -2.44527 -2.75348 0.18059 -2.71144 -1.94331
"161" "AT1G02560" 3.0203 3.835 18.36824 4.11208 6.03788 27.54309
"162" "AT1G02570" 0.0744400000000001 -0.06135 -2.75349 2.83573 0.77642 -1.25777
"163" "AT1G02575" -0.54332 -2.36775 -3.8995 -5.29204 -5.45208 -2.39799
"164" "AT1G02580" -3.84165 -4.36692 -4.37699 1.25049 -1.6046 -1.33379
"165" "AT1G02590" 1.28165 4.10127 0.17518 0.30032 2.63225 -1.05092
"166" "AT1G02610" 0.35151 2.70602 16.45825 -1.10868 -0.3027 54.07458
"167" "AT1G02620" 0.572900000000001 4.32349 -2.38737 -0.618259999999999 1.52498 -1.1809
