ID	WT1	WT2	atx345_1	atx345_2	
AT1G04445	0	0	1	1
AT1G04450	0	0	0	0
AT1G04455	0	0	0	0
AT1G04457	0	0	0	0
AT1G04470	0	0	0	0
AT1G04263	4	2	4	6
AT1G04480	1264	467	936	1113
AT1G04267	0	0	0	0
AT1G04273	1	0	0	2
AT1G04277	7	1	1	0
AT1G04490	7	4	3	6
AT1G04500	1	2	1	3
AT1G04510	229	161	408	474
AT1G04520	84	16	31	61
AT1G04530	425	301	435	904
AT1G04540	41	35	54	76
AT1G04550	292	105	138	323
AT1G04555	16	11	26	29
AT1G04560	0	0	1	0
AT1G04570	5	3	4	7
AT1G04580	0	0	0	2
AT1G04590	36	21	63	92
AT1G04600	2	1	23	25
AT1G04610	0	0	0	0
AT1G04620	115	118	71	118
AT1G04625	0	0	0	0
AT1G04630	197	152	173	167
AT1G04635	3	5	1	8
AT1G04640	146	147	178	233
AT1G04645	0	0	0	0
AT1G04650	2	1	11	11
AT1G04283	0	0	0	0
AT1G04660	39	13	15	44
AT1G04670	1	0	0	0
AT1G04680	155	177	218	290
AT1G04690	269	427	560	408
AT1G04700	1	2	1	8
AT1G04710	59	41	123	134
AT1G04720	0	0	0	0
AT1G04730	11	8	14	20
AT1G04750	289	323	513	508
AT1G04287	0	0	0	0
AT1G04760	11	9	19	10
AT1G04770	82	72	102	215
AT1G04778	3	1	2	0
AT1G04780	43	37	110	84
AT1G04790	27	37	68	78
AT1G04800	326	287	114	189
AT1G04810	79	140	401	395
AT1G04820	1813	1309	1896	2031
AT1G04830	46	89	81	87
AT1G04840	5	3	6	9
AT1G04850	99	39	230	250
AT1G04860	36	35	108	89
AT1G04870	76	63	233	307
AT1G04880	0	0	1	4
AT1G04890	0	0	0	0
AT1G04293	0	0	0	0
AT1G04895	0	0	0	0
AT1G04900	18	18	33	34
AT1G04297	0	0	0	0
AT1G04910	82	81	133	98
AT1G04303	0	0	0	0
AT1G04920	5	6	14	17
AT1G04930	5	4	12	17
AT1G04945	5	5	27	36
AT1G04940	10	5	1	5
AT1G04950	34	49	101	85
AT1G04960	117	142	145	167
AT1G04970	103	143	154	110
AT1G04980	78	35	271	248
AT1G04985	57	49	118	112
AT1G04990	101	94	200	153
AT1G05000	16	10	52	59
AT1G05005	0	0	0	0
AT1G04307	0	0	0	0
AT1G05010	482	425	1025	773
AT1G05020	0	2	2	1
AT1G05030	80	60	84	68
AT1G04313	0	0	1	1
AT1G05035	0	0	1	1
AT1G04323	0	1	2	0
AT1G05040	0	0	0	0
AT1G05055	38	39	61	84
AT1G05060	34	47	81	59
AT1G05061	1	0	5	1
