ID	ATX1-tag_hub	ATX2_tag_hub	ATX1_tag	ATX2_tag
AT1G53801	5.12312	6.53535	7.56159	8.6691
AT1G53810	3.70752	1.65141	2.86025	2.33399
AT1G53815	4.71866	4.84881	5.45749	3.50098
AT1G53820	2.96602	2.88118	3.78079	3.0842
AT1G53830	2.93231	3.54877	5.62188	3.25091
AT1G53840	5.76351	5.02449	5.81914	5.33483
AT1G53850	8.79694	8.22189	10.0273	11.0864
AT1G53860	5.96574	4.56772	8.25199	5.08476
AT1G53870	4.55014	2.95145	2.30135	2.41735
AT1G53875	4.75237	3.9704	3.68216	4.50126
AT1G53880	6.13426	7.30835	7.52871	10.5863
AT1G53885	4.34791	4.21636	6.67392	5.66826
AT1G53887	3.67382	4.88394	5.16161	4.33455
AT1G53890	4.2468	3.02172	2.49861	3.0842
AT1G53900	3.74123	3.72445	3.41915	2.25063
AT1G53903	4.21309	4.53258	5.35886	4.83469
AT1G53910	5.39276	3.68931	3.9123	3.25091
AT1G53920	3.67382	4.14608	3.84655	3.00084
AT1G53930	2.32563	2.98658	3.74792	3.50098
AT1G53935	5.29165	2.84604	3.09039	3.75105
AT1G53940	3.20195	2.84604	3.48491	4.00112
AT1G53950	5.35905	3.05686	4.37257	4.83469
AT1G53970	2.69638	2.8109	3.05751	3.16756
AT1G53980	4.38162	2.98658	2.63012	2.00056
AT1G53990	3.33677	2.63522	2.63012	2.16728
AT1G54000	2.76379	2.28386	2.46574	2.33399
AT1G54010	2.35933	3.47849	2.7945	3.25091
AT1G54020	1.88747	3.02172	3.05751	1.91721
AT1G54030	1.75265	4.70826	5.49037	4.16784
AT1G54035	5.59499	3.86499	4.43832	5.33483
AT1G54040	1.21337	2.14331	1.6767	0.333427
AT1G54050	2.22451	4.46231	6.64105	5.91833
AT1G54060	1.92117	3.86499	4.37257	5.5849
AT1G54070	4.75237	4.56772	3.9123	4.41791
AT1G54080	5.6961	8.67866	12.3944	11.0031
AT1G54090	6.20167	5.1299	9.23829	7.41875
AT1G54095	7.48245	3.72445	5.95064	4.91805
AT1G54100	11.527	12.122	11.2766	13.6705
AT1G54110	10.5496	14.5464	10.7835	12.0867
AT1G54115	11.9315	7.62458	9.46842	7.41875
AT1G54120	4.41532	3.68931	4.56983	4.58462
AT1G54130	5.6961	4.39204	4.40545	4.25119
AT1G54140	3.84234	8.46785	9.63281	10.5863
AT1G54150	6.10056	8.74894	9.89582	12.0034
AT1G54160	8.39248	6.99212	10.2575	7.41875
AT1G54170	9.74067	7.58944	6.18078	5.33483
AT1G54180	9.84179	10.2598	17.03	22.7564
AT1G54200	4.65126	4.07581	4.70134	3.6677
AT1G54210	10.4148	7.76512	7.59446	7.75218
AT1G54215	7.17911	4.84881	6.41091	4.83469
AT1G54217	7.24652	6.25426	12.5588	9.75274
AT1G54220	10.3811	10.6814	13.2821	11.6699
AT1G54230	8.19025	7.1678	9.99445	9.33596
AT1G54240	11.2237	6.74617	8.02186	6.58518
AT1G54250	10.617	10.4706	11.6383	8.83581
AT1G54260	10.4485	11.1382	8.12049	7.25204
AT1G54270	6.90947	6.46508	6.04927	5.50155
AT1G54280	6.57243	7.44889	8.31775	6.33511
AT1G54290	4.55014	8.29217	11.9342	12.0034
AT1G54300	5.25794	4.91908	4.63558	4.25119
AT1G54310	9.2014	12.4031	20.5478	27.0076
AT1G54320	8.42619	7.9408	10.6191	7.16868
AT1G54330	3.539	2.45954	3.55066	3.41763
AT1G54340	7.51616	10.049	13.7424	14.8375
AT1G54350	7.1117	8.92462	8.08761	11.8367
AT1G54360	11.19	10.9274	14.4656	22.423
AT1G54370	10.0777	8.46785	14.104	15.7544
AT1G54380	10.954	10.8571	13.0191	12.3368
AT1G54385	10.2462	9.24085	14.893	12.3368
AT1G54390	9.16769	8.88948	9.40267	7.66882
AT1G54400	3.70752	2.98658	3.32052	2.33399
AT1G54410	4.61755	3.5839	6.01639	7.25204
AT1G54420	3.67382	2.8109	3.18902	2.00056
AT1G54430	1.4156	2.35413	1.93971	1.08364
AT1G54440	3.43788	3.65417	4.53695	4.83469
AT1G54445	0.235933	1.37032	1.1178	0.666854
AT1G54450	6.33649	3.93526	6.08215	7.83553
AT1G54460	7.28023	6.99212	11.3095	8.25232
AT1G54470	5.79722	3.61904	3.05751	2.25063
AT1G54475	2.25822	3.26768	3.51778	2.16728
AT1G54490	10.7518	7.02726	8.05474	7.75218
AT1G54500	3.30307	5.23531	6.31228	6.91861
AT1G54510	5.83092	6.2894	9.04103	5.5849
AT1G54520	4.2468	6.60562	6.60817	8.50239
AT1G54530	3.80864	3.51363	5.55612	4.08448
AT1G54540	3.50529	3.79472	3.32052	3.16756
AT1G54550	3.10084	3.79472	3.45203	2.41735
AT1G54560	2.22451	5.79749	3.74792	4.50126
AT1G54570	3.87605	4.28663	4.01093	2.00056
AT1G54575	4.44903	4.11095	2.46574	2.41735
AT1G54580	5.05571	8.78407	17.556	13.0037
AT1G54590	4.81978	4.46231	4.83284	2.33399
AT1G54600	4.92089	2.95145	2.92601	4.25119
AT1G54610	4.65126	5.58667	7.00269	7.91889
AT1G54620	3.20195	3.05686	4.20819	3.58434
AT1G54630	5.22424	8.99489	14.8602	13.7539
AT1G54640	5.02201	2.88118	3.28765	2.08392
AT1G54650	5.89833	8.74894	20.1533	23.0065
AT1G54660	4.34791	4.49745	4.14244	4.83469
AT1G54680	7.92062	4.32176	6.34516	4.08448
AT1G54690	4.65126	5.1299	7.62734	8.75246
AT1G54710	4.31421	8.08135	8.18624	6.66854
AT1G54720	3.20195	2.35413	2.30135	1.91721
AT1G54730	3.539	4.21636	5.0301	5.33483
AT1G54740	1.71894	4.53258	6.04927	6.1684
AT1G54770	4.75237	5.37585	6.47666	7.41875
AT1G54780	4.9883	4.70826	7.98898	9.58603
AT1G54790	5.72981	3.12713	3.48491	2.66742
AT1G54820	3.97716	3.16227	2.46574	2.66742
AT1G54830	5.86463	5.76235	5.91776	4.41791
AT1G54840	10.1114	8.53812	7.8246	6.66854
AT1G54850	9.40362	8.29217	8.35062	7.41875
AT1G54860	1.92117	2.8109	2.16985	1.50042
AT1G54870	3.70752	1.26491	2.63012	1.08364
AT1G54890	1.58412	2.38927	1.90684	2.00056
AT1G54920	5.83092	4.91908	6.60817	6.50183
AT1G54923	2.93231	2.24872	1.93971	1.00028
AT1G54926	1.01114	2.8109	1.1178	2.91749
AT1G54930	3.67382	4.98935	9.46842	9.41931
AT1G54940	3.67382	2.70549	2.49861	2.08392
AT1G54950	2.08969	2.28386	1.84108	0.666854
AT1G54955	1.85376	2.52981	2.72875	1.25035
AT1G54957	2.76379	2.77577	2.36711	1.50042
AT1G54960	4.75237	6.00831	7.2657	9.50267
AT1G54970	2.56156	3.79472	3.58354	4.58462
AT1G54980	2.8312	2.74063	2.33423	3.0842
AT1G54985	3.90975	2.77577	1.6767	1.83385
AT1G54990	4.92089	9.34625	11.5068	9.16924
AT1G55000	3.13454	5.27044	6.87118	6.1684
AT1G55010	3.539	3.90013	3.25477	3.25091
AT1G55020	3.20195	2.319	3.9123	2.58406
AT1G55030	4.71866	4.04067	2.99176	2.66742
AT1G55035	4.01087	5.05963	10.2575	9.41931
AT1G55040	11.5607	10.7868	28.0765	25.0904
AT1G55050	6.03315	5.20017	7.10132	7.16868
AT1G55060	1.95488	2.35413	5.0301	5.0014
AT1G55070	2.99972	5.1299	6.27941	4.58462
AT1G55080	6.84206	8.99489	15.5177	15.2543
AT1G55090	5.32535	7.02726	11.9999	14.8375
AT1G55100	3.47159	2.45954	3.74792	1.25035
AT1G55110	4.9546	4.49745	6.47666	4.58462
AT1G55120	6.26908	3.65417	6.04927	6.7519
AT1G55130	8.32507	7.1678	12.5259	13.3371
AT1G55140	8.72953	10.1193	12.3944	20.8392
AT1G55150	7.61727	10.4706	14.2684	24.2568
AT1G55152	3.67382	6.64076	7.43008	8.50239
AT1G55160	6.87577	6.50021	6.57529	6.08504
AT1G55170	13.3471	9.06516	12.4273	10.753
AT1G55175	5.19053	6.39481	5.39174	7.08532
AT1G55180	7.88691	5.30558	4.66846	5.50155
AT1G55190	4.9883	5.76235	6.21365	8.91917
AT1G55200	4.75237	5.83262	6.11502	5.33483
AT1G55205	10.2799	5.37585	8.97528	9.41931
AT1G55207	7.34764	5.48126	4.40545	3.50098
AT1G55210	2.32563	3.37308	4.99722	4.33455
AT1G55220	3.40418	3.68931	3.18902	3.00084
AT1G55221	4.31421	3.51363	3.22189	3.58434
AT1G55230	1.78635	2.91631	3.32052	2.33399
AT1G55240	2.25822	3.44336	4.43832	2.00056
AT1G55250	9.26881	8.7138	15.6163	15.0042
AT1G55260	3.37047	2.24872	2.69587	3.25091
AT1G55265	8.56101	8.08135	13.315	14.4207
AT1G55270	6.74095	5.79749	8.54788	9.75274
AT1G55280	9.84179	11.4544	16.9971	20.9225
AT1G55290	6.97688	3.72445	4.04381	5.33483
AT1G55300	5.86463	8.60839	10.5862	9.58603
AT1G55310	4.65126	6.64076	8.3835	7.00197
AT1G55320	6.97688	7.1678	7.29858	11.7533
AT1G55325	9.80808	8.29217	10.3561	11.4199
AT1G55340	4.71866	5.27044	7.85748	7.91889
AT1G55350	7.8195	9.94357	11.3753	10.753
AT1G55360	4.9883	4.07581	9.40267	7.58546
AT1G55365	8.35878	8.18676	15.8465	16.9214
AT1G55370	3.90975	4.11095	8.35062	5.50155
AT1G55380	6.84206	3.05686	5.52325	8.50239
AT1G55390	4.58385	3.68931	7.10132	6.33511
AT1G55400	1.78635	1.68654	1.70958	1.41706
AT1G55410	3.94346	3.68931	5.65475	3.91777
AT1G55420	6.10056	4.28663	6.27941	7.66882
AT1G55430	3.64011	4.3569	5.78626	6.58518
AT1G55440	5.12312	4.70826	7.72597	6.66854
AT1G55450	6.26908	5.65694	9.43555	6.83525
AT1G55460	8.45989	6.6759	6.37804	6.25176
AT1G55470	5.19053	4.98935	6.31228	5.0014
AT1G55475	8.15655	7.87053	11.4739	9.2526
AT1G55480	6.77465	9.62734	13.0191	11.5032
AT1G55490	6.74095	9.69762	14.2355	12.8369
AT1G55500	13.1111	9.41653	16.4382	14.7541
AT1G55510	7.98803	8.08135	10.4876	10.8364
AT1G55520	7.24652	5.79749	7.23282	5.91833
AT1G55530	11.6618	8.57326	12.1314	7.25204
AT1G55535	6.26908	6.71103	6.96981	6.1684
AT1G55540	8.08914	8.25703	14.5972	16.588
AT1G55546	5.83092	5.62181	6.80543	5.08476
AT1G55550	4.07827	3.75958	6.93694	9.2526
AT1G55560	3.94346	1.65141	2.66299	2.58406
AT1G55570	3.10084	2.67036	3.55066	3.16756
AT1G55580	1.17967	2.45954	2.63012	1.66713
AT1G55590	9.2351	6.60562	9.83006	14.6708
AT1G55600	4.65126	3.54877	4.24106	4.08448
AT1G55610	4.38162	6.25426	10.0602	6.50183
AT1G55620	7.44875	7.76512	10.7506	13.2537
AT1G55630	10.1114	8.25703	14.893	17.5883
AT1G55640	7.71839	6.88671	12.1643	12.8369
AT1G55650	3.97716	2.84604	2.46574	2.00056
AT1G55660	2.52786	4.14608	3.61641	3.0842
AT1G55670	7.48245	5.48126	12.3616	27.8412
AT1G55675	3.67382	7.51917	7.39721	6.50183
AT1G55680	10.8192	8.39757	12.4931	10.5863
AT1G55690	5.19053	6.35967	10.5862	9.66938
AT1G55700	4.68496	4.70826	6.83831	5.41819
AT1G55720	3.97716	2.77577	3.68216	4.66798
AT1G55730	8.4936	8.11648	9.5013	7.25204
AT1G55740	2.56156	4.11095	3.32052	3.33427
AT1G55750	7.75209	8.36244	8.64651	10.5029
AT1G55755	10.4822	9.06516	9.63281	11.3365
AT1G55760	8.72953	6.2894	9.73144	7.91889
AT1G55770	5.12312	6.53535	10.4876	9.75274
AT1G55775	3.10084	2.52981	3.9123	3.16756
AT1G55790	3.64011	4.39204	4.50408	4.33455
AT1G55800	4.31421	4.56772	4.4712	4.16784
AT1G55803	6.10056	5.41099	8.35062	9.58603
AT1G55805	4.68496	6.64076	7.62734	7.83553
AT1G55810	8.25766	7.0624	12.7889	7.41875
AT1G55820	10.0103	10.0138	11.2109	10.753
AT1G55830	6.20167	6.50021	11.2766	10.9197
AT1G55840	5.56128	6.11372	7.06844	3.91777
AT1G55850	10.044	8.22189	13.6766	14.8375
AT1G55860	4.65126	7.20294	9.30404	10.0862
AT1G55865	10.044	13.8437	22.0601	25.6739
AT1G55870	8.69583	9.41653	17.1944	21.6728
AT1G55880	9.06658	9.45166	10.1917	12.1701
AT1G55890	9.36992	9.94357	10.0602	15.0876
AT1G55900	4.01087	6.35967	13.2163	19.1721
AT1G55910	7.65098	7.1678	9.27116	5.41819
AT1G55915	12.5045	10.1544	9.79719	8.83581
AT1G55917	2.96602	2.74063	5.81914	6.66854
AT1G55920	2.79749	2.56495	5.62188	6.41847
AT1G55928	10.4485	8.99489	7.16707	5.75162
AT1G55930	8.59471	8.95975	18.3779	25.9239
AT1G55940	4.38162	2.95145	4.07668	4.75133
AT1G55945	5.39276	3.12713	3.78079	1.83385
AT1G55947	4.41532	3.61904	3.58354	4.75133
AT1G55950	3.70752	3.16227	4.96435	4.58462
AT1G55960	9.47103	7.83539	15.5177	17.755
AT1G55964	5.52758	6.57049	6.34516	7.66882
AT1G55970	4.81978	5.72722	8.48213	4.50126
AT1G55980	5.86463	8.46785	14.3999	11.5032
AT1G56000	7.34764	8.3273	10.9807	7.58546
AT1G56010	4.65126	4.00554	3.94518	4.50126
AT1G56020	5.05571	3.9704	6.18078	7.08532
AT1G56030	3.94346	4.21636	4.20819	4.58462
AT1G56040	3.50529	4.63799	6.37804	4.75133
AT1G56045	7.04429	7.65971	9.89582	8.83581
AT1G56050	7.61727	6.88671	9.17254	6.83525
AT1G56060	6.20167	5.27044	7.69309	7.75218
AT1G56070	5.83092	6.50021	8.28487	7.75218
AT1G56080	7.41504	6.99212	7.33145	9.00253
AT1G56085	5.83092	6.88671	7.16707	6.91861
AT1G56090	6.03315	8.25703	7.75885	8.75246
AT1G56100	4.21309	4.91908	3.28765	3.25091
AT1G56105	4.01087	4.70826	4.24106	3.25091
