ID	ATX1_hub	ATX2_hub	ATX2	ATX1	
AT1G03260	11.2491	11.3745	15.0086	13.2302
AT1G03270	8.68604	10.8398	12.6073	10.8694
AT1G03280	10.3948	8.94408	9.5555	7.77089
AT1G03290	11.3915	11.7634	12.3571	12.4924
AT1G03300	8.18766	11.6662	13.4578	10.3284
AT1G03310	11.5339	16.6243	14.6584	15.6893
AT1G03320	4.48541	6.07614	6.10352	6.63968
AT1G03330	10.9643	14.9716	13.5578	14.9516
AT1G03340	9.4692	13.0759	11.9569	10.9186
AT1G03350	8.68604	13.1731	16.4595	10.9186
AT1G03360	10.3236	11.812	14.9586	11.1645
AT1G03365	11.8899	14.2911	16.9598	14.5089
AT1G03370	8.47245	12.0551	13.3077	12.4433
AT1G03380	8.25886	7.58302	13.0075	10.6235
AT1G03390	5.83816	5.00674	5.5532	6.68886
AT1G03400	5.90935	9.0413	10.2559	6.68886
AT1G03410	5.33978	11.3745	10.406	7.82007
AT1G03420	3.84464	7.4372	6.35366	5.31175
AT1G03430	6.55013	14.5341	14.0081	9.88575
AT1G03440	8.40125	8.31216	8.10467	7.27906
AT1G03445	6.26534	6.31919	5.95343	3.49198
AT1G03457	8.68604	9.47878	9.45545	7.96762
AT1G03470	6.33654	8.79825	11.0063	9.83657
AT1G03475	8.18766	11.3745	12.6073	10.8202
AT1G03490	8.04526	6.31919	5.75331	4.62319
AT1G03495	4.98379	4.47204	5.15297	6.19704
AT1G03510	7.83167	12.8328	13.808	7.32824
AT1G03520	11.4627	15.6035	14.8085	13.4761
AT1G03530	6.97731	8.65242	10.6061	10.23
AT1G03540	7.33329	9.33295	9.40542	8.50863
AT1G03545	3.84464	3.2082	6.85395	5.06583
AT1G03550	5.55337	7.92329	7.30421	7.77089
AT1G03560	8.75723	8.31216	10.9063	10.771
AT1G03580	3.84464	9.86765	10.406	8.65618
AT1G03590	8.54364	10.9857	10.456	8.0168
AT1G03600	8.25886	11.0829	9.85568	5.70521
AT1G03610	8.68604	9.96487	8.05464	6.73805
AT1G03620	5.12619	6.85389	6.85395	5.36093
AT1G03630	8.47245	9.67322	15.2088	6.54132
AT1G03650	7.1197	8.74964	9.35539	8.75454
AT1G03660	5.12619	6.22197	5.05291	5.75439
AT1G03670	3.70225	6.9511	6.20357	3.83626
AT1G03680	7.68928	11.4231	9.30536	8.85291
AT1G03687	11.8187	13.6592	13.958	10.2792
AT1G03700	7.33329	6.12475	3.75216	5.80357
AT1G03710	3.41746	5.05535	5.95343	3.29525
AT1G03720	2.91908	4.56926	3.00173	3.1477
AT1G03730	4.48541	7.9719	5.60323	5.65603
AT1G03740	8.75723	9.23573	8.75504	6.83641
AT1G03750	10.11	16.7701	13.3077	16.4762
AT1G03760	10.5372	13.6106	14.8586	12.3941
AT1G03770	4.7702	9.13852	8.00461	8.11517
AT1G03780	9.6116	11.6662	8.30478	7.62334
AT1G03790	4.20062	4.66648	5.05291	5.1642
AT1G03800	5.98055	10.0621	7.75447	7.08233
AT1G03810	2.2783	3.15959	3.35193	4.18054
AT1G03820	4.62781	7.53441	4.30248	6.0003
AT1G03830	10.5372	12.3467	15.559	12.3449
AT1G03840	3.20387	3.11098	4.55262	3.24607
AT1G03850	5.55337	4.56926	5.00288	5.55766
AT1G03860	11.4627	15.6521	10.9063	11.8531
AT1G03870	5.55337	9.91626	7.45429	8.16435
AT1G03880	4.20062	2.28463	2.65153	4.13136
AT1G03890	4.27182	2.52767	3.75216	3.88544
AT1G03900	5.48217	6.17336	7.35424	5.55766
AT1G03905	11.3203	14.0966	13.5078	8.50863
AT1G03910	10.2524	10.8398	11.3565	10.23
AT1G03920	4.34302	6.56223	6.05349	5.45929
AT1G03930	8.04526	9.67322	8.80507	9.54147
AT1G03940	8.04526	11.812	12.9575	10.2792
AT1G03950	8.40125	9.18712	9.35539	8.95127
AT1G03960	7.47569	7.4858	7.85452	7.86925
AT1G03970	8.54364	9.08991	9.70559	8.50863
AT1G03980	7.90287	3.49986	5.95343	6.63968
AT1G03982	5.55337	8.55521	8.05464	7.57416
AT1G03990	7.1909	7.4858	8.10467	10.1808
AT1G03993	3.91584	3.98595	7.60438	8.0168
AT1G04000	5.83816	11.1801	11.4066	6.8856
AT1G04010	12.7443	10.7426	13.0075	11.1153
AT1G04020	9.04202	10.8884	7.8045	8.55781
AT1G04030	10.6084	9.38156	9.80565	7.86925
AT1G04040	4.05823	5.24979	5.95343	6.8856
AT1G04050	6.76372	9.67322	10.3059	6.73805
AT1G04053	6.26534	5.20118	4.80277	4.8691
AT1G04067	8.68604	7.33998	8.8551	7.7217
AT1G04070	8.25886	11.6662	11.5066	10.1808
AT1G04077	7.1197	6.65945	6.6038	5.01665
AT1G04080	10.2524	14.923	11.8068	11.4596
AT1G04090	7.83167	12.1523	9.80565	12.6892
AT1G04100	9.32681	8.74964	7.8045	8.85291
AT1G04103	8.25886	10.2079	7.65441	6.83641
AT1G04105	5.55337	6.4164	6.6038	7.27906
AT1G04110	7.1197	6.3678	9.2053	6.34458
AT1G04117	5.76696	3.79151	4.05233	5.11501
AT1G04120	8.25886	13.2703	10.5061	9.63983
AT1G04130	9.75399	17.6937	12.5072	13.8204
AT1G04137	6.83491	6.70806	6.40369	7.91844
AT1G04140	7.04851	10.8398	9.80565	9.34474
AT1G04150	5.76696	9.96487	11.8068	7.13151
AT1G04160	8.40125	13.7078	10.6061	13.3285
AT1G04163	6.19414	3.79151	4.50259	5.60684
AT1G04170	7.83167	14.2425	11.6067	8.90209
AT1G04180	8.33005	4.18038	7.85452	8.21353
AT1G04183	4.8414	5.39561	4.90282	5.75439
AT1G04190	15.8769	18.8117	16.7096	11.017
AT1G04200	11.5339	9.81904	8.60496	10.6235
AT1G04210	7.2621	10.0135	10.1058	9.29555
AT1G04220	3.77344	3.40264	4.60265	3.54116
AT1G04230	11.7475	13.4161	10.1558	9.7382
AT1G04240	8.75723	11.6662	11.7568	7.67252
AT1G04247	4.91259	4.56926	5.75331	4.574
AT1G04250	4.34302	4.90952	4.40254	3.78708
AT1G04253	4.41422	4.95813	4.70271	3.83626
AT1G04260	8.54364	11.569	12.9074	7.91844
AT1G04270	7.68928	12.3953	9.70559	7.52497
AT1G04280	5.48217	9.72182	5.9034	5.31175
AT1G04290	5.33978	8.21494	6.65383	5.60684
AT1G04295	5.48217	8.65242	8.60496	7.82007
AT1G04297	5.83816	4.03456	4.8528	6.44295
AT1G04300	9.6116	12.6384	12.3071	12.2957
AT1G04310	8.40125	9.52739	14.8085	9.34474
AT1G04317	4.41422	3.11098	3.20184	5.50848
AT1G04330	9.11322	4.32621	6.55377	4.72155
AT1G04340	7.1909	13.7564	10.0558	6.93478
AT1G04350	8.61484	15.6035	11.7568	7.22988
AT1G04353	3.98703	5.83309	5.65326	5.31175
AT1G04357	8.47245	5.59005	8.8551	6.14785
AT1G04360	5.05499	6.99971	8.45487	6.0003
AT1G04367	5.19738	4.56926	8.1547	5.95112
AT1G04370	4.05823	2.77072	3.25187	4.574
AT1G04380	3.91584	4.2776	4.00231	3.1477
AT1G04390	6.97731	8.40938	12.9074	10.2792
AT1G04400	6.33654	10.8398	10.3059	10.771
AT1G04410	8.61484	10.9857	8.45487	8.50863
AT1G04420	9.18442	10.451	10.7562	9.98411
AT1G04425	2.77668	8.40938	5.45314	5.45929
AT1G04430	8.75723	7.87468	11.7067	6.5905
AT1G04440	6.76372	10.4996	10.7562	10.1808
AT1G04445	3.27506	2.52767	5.30305	3.63953
AT1G04450	3.34626	4.95813	4.20242	4.27891
AT1G04463	8.61484	8.94408	12.7573	11.2629
AT1G04470	4.62781	4.86091	5.50317	5.41011
AT1G04480	10.466	12.1523	10.5061	8.3119
AT1G04487	5.98055	5.8817	9.65556	6.14785
AT1G04490	5.12619	6.9025	5.25303	5.41011
AT1G04500	5.48217	7.24276	5.15297	4.08217
AT1G04510	13.2426	10.4996	12.4071	7.37742
AT1G04513	5.33978	11.2287	11.2565	7.82007
AT1G04520	8.82843	7.92329	11.1064	7.32824
AT1G04530	8.68604	10.5482	10.0058	7.96762
AT1G04533	6.40773	6.85389	6.30363	6.2954
AT1G04540	7.40449	11.9578	6.05349	8.90209
AT1G04543	9.96758	9.67322	9.00519	7.77089
AT1G04550	8.18766	8.94408	12.4071	8.95127
AT1G04555	4.98379	9.67322	9.00519	9.34474
AT1G04560	2.84788	4.61787	3.50202	5.50848
AT1G04570	9.39801	11.7148	8.30478	6.93478
AT1G04580	5.12619	6.85389	6.00346	7.13151
AT1G04583	6.33654	6.70806	5.05291	4.42645
AT1G04590	9.82519	15.4091	11.8568	9.4431
AT1G04593	5.55337	9.23573	8.70501	5.70521
AT1G04600	10.3236	12.6384	10.6561	9.93493
AT1G04603	5.62457	5.20118	3.3019	2.90179
AT1G04610	3.91584	5.20118	3.70213	4.03299
AT1G04613	4.34302	3.69429	3.75216	4.96747
AT1G04620	9.11322	13.5133	16.0593	10.9186
AT1G04625	7.33329	6.4164	5.00288	5.80357
AT1G04630	10.11	12.9786	14.7085	12.8859
AT1G04635	8.25886	12.2009	12.157	10.23
AT1G04640	9.82519	13.7564	9.75562	11.3121
AT1G04643	3.91584	6.17336	5.95343	5.41011
AT1G04647	4.91259	5.10396	6.85395	4.62319
AT1G04650	11.3203	11.6662	11.8068	11.9022
AT1G04660	3.27506	4.61787	3.6521	4.96747
AT1G04670	3.20387	4.76369	4.30248	4.22972
AT1G04680	5.90935	7.33998	7.95458	6.83641
AT1G04690	6.90611	11.4231	8.05464	5.26256
AT1G04697	7.68928	7.9719	8.00461	7.96762
AT1G04700	7.40449	8.36077	6.40369	7.82007
AT1G04707	8.11646	5.10396	6.55377	6.24622
AT1G04710	10.7508	13.5619	15.8591	10.8694
AT1G04723	6.19414	7.04832	6.65383	10.9678
AT1G04730	12.0323	12.4439	12.5572	11.3612
AT1G04743	5.05499	3.49986	4.20242	6.34458
AT1G04750	8.75723	13.2703	13.1576	12.1482
AT1G04760	5.83816	5.10396	5.9034	7.22988
AT1G04767	6.69252	4.66648	6.75389	7.62334
AT1G04770	4.05823	7.72885	9.90571	7.32824
AT1G04773	8.33005	14.3883	24.2139	10.0333
AT1G04778	5.12619	6.17336	4.50259	7.32824
AT1G04780	6.97731	11.6662	10.5061	8.60699
AT1G04783	8.54364	11.2773	11.1564	9.29555
AT1G04790	9.25561	15.3605	14.1582	10.3776
AT1G04800	4.20062	7.82607	5.75331	5.1642
AT1G04807	10.0388	12.0065	10.5061	10.23
AT1G04810	13.1715	13.7564	13.2576	11.3121
AT1G04820	8.97083	11.1315	11.4566	8.60699
